source,size,N_params,chinchilla_scale,D_tokens,epochs,K_paraphrase,D_prime_tokens,tokens_trained,Dprime_over_D,D_over_N,run_name,learning_rate,weight_decay,D_files,D_dir,D_prime_files,D_prime_dir,D_prime_corpus,paraphrase_seeds,data_mix,tokens_evaluated,val_loss,eta_fit,R_star_fit,D_eff_fit,val_loss_pred,resid_log,kept_in_canonical_fit
repeat,30m,30000000,0.25,150000000,4,,450000000,600000000,3.0,5.0,30M_seed42_case4_dolma_epoch4_wd0.2_lr3e-3,0.003,0.2,train_0.15B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.15B,13279917,5.6828,0.936834,22.735919,571575138,5.546872,0.02421,True
repeat,30m,30000000,0.25,150000000,8,,1050000000,1200000000,7.0,5.0,30M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_0.15B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.15B,13279917,4.9073,0.860712,22.735919,1053747996,4.936181,-0.005868,True
repeat,30m,30000000,0.25,150000000,16,,2250000000,2400000000,15.0,5.0,30M_seed42_case4_dolma_epoch16_wd0.4_lr3e-3,0.003,0.4,train_0.15B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.15B,13279917,4.3311,0.732125,22.735919,1797281877,4.52168,-0.043062,True
repeat,30m,30000000,0.25,150000000,32,,4650000000,4800000000,31.0,5.0,30M_seed42_case4_dolma_epoch32_wd0.8_lr3e-3,0.003,0.8,train_0.15B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.15B,13279917,4.1665,0.545832,22.735919,2688116992,4.267335,-0.023913,True
repeat,30m,30000000,0.25,150000000,64,,9450000000,9600000000,63.0,5.0,30M_seed42_case4_dolma_epoch64_wd0.8_lr3e-3,0.003,0.8,train_0.15B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.15B,13279917,4.1152,0.338295,22.735919,3346888188,4.146581,-0.007597,True
repeat,30m,30000000,0.5,300000000,2,,300000000,600000000,1.0,10.0,30M_seed42_case4_dolma_epoch2_wd0.2_lr3e-3,0.003,0.2,train_0.3B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.3B,13279917,5.6401,0.971223,17.039811,591366791,5.508422,0.023624,True
repeat,30m,30000000,0.5,300000000,4,,900000000,1200000000,3.0,10.0,30M_seed42_case4_dolma_epoch4_wd0.4_lr3e-3,0.003,0.4,train_0.3B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.3B,13279917,4.8736,0.916917,17.039811,1125225601,4.879856,-0.001283,True
repeat,30m,30000000,0.5,300000000,8,,2100000000,2400000000,7.0,10.0,30M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_0.3B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.3B,13279917,4.2115,0.820059,17.039811,2022122874,4.442511,-0.053401,True
repeat,30m,30000000,0.5,300000000,16,,4500000000,4800000000,15.0,10.0,30M_seed42_case4_dolma_epoch16_wd0.2_lr3e-3,0.003,0.2,train_0.3B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.3B,13279917,3.9728,0.664937,17.039811,3292214450,4.155257,-0.044903,True
repeat,30m,30000000,0.5,300000000,32,,9300000000,9600000000,31.0,10.0,30M_seed42_case4_dolma_epoch32_wd0.2_lr3e-3,0.003,0.2,train_0.3B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.3B,13279917,3.8961,0.460545,17.039811,4583071126,3.992436,-0.024425,True
repeat,30m,30000000,0.5,300000000,64,,18900000000,19200000000,63.0,10.0,30M_seed42_case4_dolma_epoch64_wd0.4_lr3e-3,0.003,0.4,train_0.3B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.3B,13279917,3.882,0.263768,17.039811,5285206646,3.929229,-0.012093,True
repeat,30m,30000000,1.0,600000000,4,,1800000000,2400000000,3.0,20.0,30M_seed42_case4_dolma_epoch4_wd0.2_lr3e-3,0.003,0.2,train_0.6B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.6B,13279917,4.2052,0.891226,12.770768,2204206395,4.387136,-0.042355,True
repeat,30m,30000000,1.0,600000000,8,,4200000000,4800000000,7.0,20.0,30M_seed42_case4_dolma_epoch8_wd0.2_lr3e-3,0.003,0.2,train_0.6B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.6B,13279917,3.9541,0.769837,12.770768,3833316513,4.077427,-0.030713,True
repeat,30m,30000000,1.0,600000000,16,,9000000000,9600000000,15.0,20.0,30M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_0.6B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.6B,13279917,3.8017,0.588344,12.770768,5895099884,3.883402,-0.021263,True
repeat,30m,30000000,1.0,600000000,32,,18600000000,19200000000,31.0,20.0,30M_seed42_case4_dolma_epoch32_wd0.1_lr3e-3,0.003,0.1,train_0.6B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.6B,13279917,3.7418,0.375599,12.770768,7586138390,3.785582,-0.011633,True
repeat,30m,30000000,1.0,600000000,64,,37800000000,38400000000,63.0,20.0,30M_seed42_case4_dolma_epoch64_wd0.1_lr3e-3,0.003,0.1,train_0.6B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-0.6B,13279917,3.7049,0.20125,12.770768,8207261609,3.757204,-0.014019,True
repeat,30m,30000000,2.0,1200000000,4,,3600000000,4800000000,3.0,40.0,30M_seed42_case4_dolma_epoch4_wd0.2_lr3e-3,0.003,0.2,train_1.2B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.2B,13279917,3.8841,0.858448,9.571263,4290413356,4.023059,-0.035151,True
repeat,30m,30000000,2.0,1200000000,8,,8400000000,9600000000,7.0,40.0,30M_seed42_case4_dolma_epoch8_wd0.1_lr3e-3,0.003,0.1,train_1.2B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.2B,13279917,3.7551,0.709291,9.571263,7158042390,3.807164,-0.01377,True
repeat,30m,30000000,2.0,1200000000,16,,18000000000,19200000000,15.0,40.0,30M_seed42_case4_dolma_epoch16_wd0.1_lr3e-3,0.003,0.1,train_1.2B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.2B,13279917,3.7005,0.50496,9.571263,10289288646,3.680914,0.005307,True
repeat,30m,30000000,2.0,1200000000,32,,37200000000,38400000000,31.0,40.0,30M_seed42_case4_dolma_epoch32_wd0.1_lr3e-3,0.003,0.1,train_1.2B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.2B,13279917,3.6463,0.296645,9.571263,12235186065,3.627366,0.005206,True
repeat,30m,30000000,2.0,1200000000,64,,75600000000,76800000000,63.0,40.0,30M_seed42_case4_dolma_epoch64_wd0.1_lr3e-3,0.003,0.1,train_1.2B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-1.2B,13279917,3.6069,0.151714,9.571263,12669610731,3.617063,-0.002814,True
repeat,30m,30000000,4.0,2400000000,4,,7200000000,9600000000,3.0,80.0,30M_seed42_case4_dolma_epoch4_wd0.4_lr3e-3,0.003,0.4,train_2.4B.npy,preprocessed/dolma2-0625/resharded,,,,,OLMo-dolma-2.4B,3478624,3.7851,0.817233,7.173341,8284080748,3.753909,0.008275,True
