stream,run_name,size,N_params,chinchilla_scale,D_tokens,epochs,K,learning_rate,weight_decay,seed,val_loss,perplexity,tokens_evaluated,run_complete,selected_for_scaling_fit,source_file
paraphrase,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,14m,14000000,2.0,560000000,,4,0.003,0.1,42,5.216784776696413,184.34056091308594,3478624,True,True,dolma_para_val_loss/chinchilla_2/14M/14M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.2_lr3e-3,14m,14000000,2.0,560000000,,4,0.003,0.2,42,5.226717275287383,186.18064880371094,3478624,True,False,dolma_para_val_loss/chinchilla_2/14M/14M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,14m,14000000,2.0,560000000,,8,0.003,0.1,42,4.841864076303276,126.705322265625,3478624,True,True,dolma_para_val_loss/chinchilla_2/14M/14M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,14m,14000000,2.0,560000000,,8,0.003,0.2,42,4.876380931499086,131.15513610839844,3478624,True,False,dolma_para_val_loss/chinchilla_2/14M/14M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,14m,14000000,4.0,1120000000,,1,0.003,0.1,42,5.129089832012016,168.8633575439453,3478624,True,True,dolma_para_val_loss/chinchilla_4/14M/14M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.2_lr3e-3,14m,14000000,4.0,1120000000,,1,0.003,0.2,42,5.179037850742694,177.51197814941406,3478624,True,False,dolma_para_val_loss/chinchilla_4/14M/14M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,14m,14000000,4.0,1120000000,,2,0.003,0.1,42,4.876078506755091,131.11549377441406,3478624,True,True,dolma_para_val_loss/chinchilla_4/14M/14M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.2_lr3e-3,14m,14000000,4.0,1120000000,,2,0.003,0.2,42,5.089289087044996,162.27447509765625,3478624,True,False,dolma_para_val_loss/chinchilla_4/14M/14M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,14m,14000000,4.0,1120000000,,4,0.003,0.1,42,4.673655481094703,107.08849334716797,3478624,True,True,dolma_para_val_loss/chinchilla_4/14M/14M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.2_lr3e-3,14m,14000000,4.0,1120000000,,4,0.003,0.2,42,4.711347295135479,111.20185852050781,3478624,True,False,dolma_para_val_loss/chinchilla_4/14M/14M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,14m,14000000,4.0,1120000000,,8,0.003,0.1,42,4.573691531796341,96.9011459350586,3478624,True,False,dolma_para_val_loss/chinchilla_4/14M/14M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,14m,14000000,4.0,1120000000,,8,0.003,0.2,42,4.563112382170207,95.88142395019531,3478624,True,True,dolma_para_val_loss/chinchilla_4/14M/14M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,14m,14000000,8.0,2240000000,,1,0.003,0.1,42,4.638526829406676,103.39192962646484,3478624,True,True,dolma_para_val_loss/chinchilla_8/14M/14M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.2_lr3e-3,14m,14000000,8.0,2240000000,,1,0.003,0.2,42,4.678476605735598,107.60604095458984,3478624,True,False,dolma_para_val_loss/chinchilla_8/14M/14M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,14m,14000000,8.0,2240000000,,2,0.003,0.1,42,4.506268403876365,90.58317565917969,3478624,True,True,dolma_para_val_loss/chinchilla_8/14M/14M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.2_lr3e-3,14m,14000000,8.0,2240000000,,2,0.003,0.2,42,4.513199912093362,91.21321868896484,3478624,True,False,dolma_para_val_loss/chinchilla_8/14M/14M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,14m,14000000,8.0,2240000000,,4,0.003,0.1,42,4.427369189086713,83.71089172363281,3478624,True,True,dolma_para_val_loss/chinchilla_8/14M/14M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.2_lr3e-3,14m,14000000,8.0,2240000000,,4,0.003,0.2,42,4.446600359230358,85.33634185791016,3478624,True,False,dolma_para_val_loss/chinchilla_8/14M/14M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,14m,14000000,8.0,2240000000,,8,0.003,0.1,42,4.2946187579698805,73.30425262451172,3478624,True,True,dolma_para_val_loss/chinchilla_8/14M/14M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,14m,14000000,8.0,2240000000,,8,0.003,0.2,42,4.32142317868931,75.29570007324219,3478624,True,False,dolma_para_val_loss/chinchilla_8/14M/14M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.1_lr3e-3,14m,14000000,16.0,4480000000,,1,0.003,0.1,42,4.34787080535921,77.31367492675781,3478624,True,True,dolma_para_val_loss/chinchilla_16/14M/14M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K1_wd0.2_lr3e-3,14m,14000000,16.0,4480000000,,1,0.003,0.2,42,4.3635874577535905,78.53837585449219,3478624,True,False,dolma_para_val_loss/chinchilla_16/14M/14M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.1_lr3e-3,14m,14000000,16.0,4480000000,,2,0.003,0.1,42,4.307203374101166,74.23258972167969,3478624,True,True,dolma_para_val_loss/chinchilla_16/14M/14M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K2_wd0.2_lr3e-3,14m,14000000,16.0,4480000000,,2,0.003,0.2,42,4.309650964184335,74.41450500488281,3478624,True,False,dolma_para_val_loss/chinchilla_16/14M/14M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.1_lr3e-3,14m,14000000,16.0,4480000000,,4,0.003,0.1,42,4.233110735907628,68.93133544921875,3478624,True,True,dolma_para_val_loss/chinchilla_16/14M/14M_seed42_dolma_para_K4_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K4_wd0.2_lr3e-3,14m,14000000,16.0,4480000000,,4,0.003,0.2,42,4.244307279479324,69.70743560791016,3478624,True,False,dolma_para_val_loss/chinchilla_16/14M/14M_seed42_dolma_para_K4_wd0.2_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.1_lr3e-3,14m,14000000,16.0,4480000000,,8,0.003,0.1,42,4.178514948308561,65.26885223388672,3478624,True,True,dolma_para_val_loss/chinchilla_16/14M/14M_seed42_dolma_para_K8_wd0.1_lr3e-3.json
paraphrase,14M_seed42_dolma_para_K8_wd0.2_lr3e-3,14m,14000000,16.0,4480000000,,8,0.003,0.2,42,4.199439870707723,66.64899444580078,3478624,True,False,dolma_para_val_loss/chinchilla_16/14M/14M_seed42_dolma_para_K8_wd0.2_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K1_wd0.1_lr3e-3,30m,30000000,0.05,30000000,,1,0.003,0.1,42,8.111622808267049,3332.982421875,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K1_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K1_wd0.2_lr3e-3,30m,30000000,0.05,30000000,,1,0.003,0.2,42,8.111691206192225,3333.21142578125,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K1_wd0.2_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K2_wd0.1_lr3e-3,30m,30000000,0.05,30000000,,2,0.003,0.1,42,8.095305590080526,3279.038330078125,3478624,True,False,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K2_wd0.1_lr3e-3.json
paraphrase,30M_seed42_dolma_para_K2_wd0.2_lr3e-3,30m,30000000,0.05,30000000,,2,0.003,0.2,42,8.092346043881369,3269.34912109375,3478624,True,True,dolma_para_val_loss/chinchilla_0.05/30M/30M_seed42_dolma_para_K2_wd0.2_lr3e-3.json
